OBJECTID,Place,Day,Date of Exposure,Time of Exposure,Address,Zone,Last Updated,Exposure area,Geolocation Address,longitude,latitude
95,St. Francis Xavier University – Angus L. Macdonald Library,Sat,12/04/2021, 10:30 to 21:00,,Eastern,12/10/2021 - 23:40,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - nan- Nova Scotia- Canada,-61.99718992,45.62007995
96,Main Street Café - Maritime Inn Restaurant,Sat,12/04/2021, 10:30 to 12:30,158 Main Street- Antigonish,Eastern,12/08/2021 - 22:34,Main Street Café - Maritime Inn Restaurant,Main Street Café - Maritime Inn Restaurant - 158 Main Street- Antigonish- Nova Scotia- Canada,-61.98719926,45.62326673
97,Ela! Greek Taverna Restaurant,Sat,12/04/2021, 10:30 to 13:00,215 Chain Lake Drive- Halifax,Central,12/09/2021 - 21:19,Ela! Greek Taverna Restaurant,Ela! Greek Taverna Restaurant - 215 Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.67757877,44.65376166
98,Pipers Pub,Sat,12/04/2021, 10:30 to 12:30,33 College St.- Antigonish,Eastern,12/08/2021 - 22:48,Pipers Pub,Pipers Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.99158,45.62128
99,Centennial Arena,Sat,12/04/2021, 09:30 to 11:30,stands for U9 hockey (27 Vimy Avenue- Halifax),Central,12/08/2021 - 22:28,Centennial Arena,Centennial Arena - stands for U9 hockey (27 Vimy Avenue- Halifax)- Nova Scotia- Canada,-63.63491111,44.66173637
100,GoodLife Fitness,Sat,12/04/2021, 09:00 to 11:30,26 College St.- Antigonish,Eastern,12/10/2021 - 23:30,GoodLife Fitness,GoodLife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459
101,Kennys Pizza,Sat,12/04/2021, 01:00 to 03:00,30 College St.- Antigonish,Eastern,12/09/2021 - 21:21,Kennys Pizza,Kennys Pizza - 30 College St.- Antigonish- Nova Scotia- Canada,-61.99146304,45.62143114
102,Pipers Pub,Fri,12/03/2021, 23:00 to Sat,33 College St.- Antigonish,Eastern,12/09/2021 - 21:32,Pipers Pub,Pipers Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.99158,45.62128
103,Spindrift Oak Manor,Fri,12/03/2021, 22:30 to Sat,271 Main Street- Antigonish,Eastern,12/09/2021 - 21:54,Spindrift Oak Manor,Spindrift Oak Manor - 271 Main Street- Antigonish- Nova Scotia- Canada,-61.99157076,45.62243257
104,Grindhouse Cafe,Fri,12/03/2021, 21:30 to 23:30,2914 Main St.- Antigonish,Eastern,12/11/2021 - 00:02,Grindhouse Cafe,Grindhouse Cafe - 2914 Main St.- Antigonish- Nova Scotia- Canada,-61.98846328,45.6228542
105,Candid Brewery Company,Fri,12/03/2021, 21:00 to 22:30,88 College Street- Antigonish,Eastern,12/09/2021 - 21:47,Candid Brewery Company,Candid Brewery Company - 88 College Street- Antigonish- Nova Scotia- Canada,-61.99161577,45.62305358
106,St. Francis Xavier University – Student Union Building (party),Fri,12/03/2021, 20:30 to Sat,,Eastern,12/09/2021 - 22:20,St. Francis Xavier University – Student Union Building (party),St. Francis Xavier University – Student Union Building (party) - nan- Nova Scotia- Canada,-61.99718992,45.62007995
107,St. Francis Xavier University,Fri,12/03/2021, 20:00 to Sat,Golden X Inn - X Ring Super SUB Event- Bloomfield Centre,Eastern,12/08/2021 - 22:26,St. Francis Xavier University,St. Francis Xavier University - Golden X Inn - X Ring Super SUB Event- Bloomfield Centre- Nova Scotia- Canada,-64.3571,44.37933
108,Boston Pizza,Fri,12/03/2021, 18:00 to 20:30,133 Church Street- Antigonish,Eastern,12/08/2021 - 22:47,Boston Pizza,Boston Pizza - 133 Church Street- Antigonish- Nova Scotia- Canada,-61.98552,45.61557
109,Justamere Café & Bakery,Fri,12/03/2021, 17:30 to 20:00,137 Church St.- Antigonish,Eastern,12/09/2021 - 21:44,Justamere Café & Bakery,Justamere Café & Bakery - 137 Church St.- Antigonish- Nova Scotia- Canada,-61.98565384,45.61600232
110,Big Leagues,Fri,12/03/2021, 17:30 to 22:00,920 Cole Harour Rd.- Dartmouth,Central,12/11/2021 - 00:09,Big Leagues,Big Leagues - 920 Cole Harour Rd.- Dartmouth- Nova Scotia- Canada,-63.49831148,44.67035737
111,St. Francis Xavier University,Fri,12/03/2021, 17:00 to 19:00,MacIsaac Hall- Bishops Hall- and Cameron Hall residences,Eastern,12/08/2021 - 22:22,St. Francis Xavier University,St. Francis Xavier University - MacIsaac Hall- Bishops Hall- and Cameron Hall residences- Nova Scotia- Canada,-61.63183,45.76663995
112,St- Francis Xavier University,Fri,12/03/2021, 17:00 to 19:00,Amelia Saputo Centre,Eastern,12/08/2021 - 22:19,St- Francis Xavier University,St- Francis Xavier University - Amelia Saputo Centre- Nova Scotia- Canada,-61.99718992,45.62007995
113,Jack Astor’s Bar and Grill,Fri,12/03/2021, 16:30 to 18:30,184 Chain Lake Dr.- Halifax,Central,12/07/2021 - 20:59,Jack Astor’s Bar and Grill,Jack Astor’s Bar and Grill - 184 Chain Lake Dr.- Halifax- Nova Scotia- Canada,-63.67421995,44.64726007
114,St. Francis Xavier University,Fri,12/03/2021, 16:30 to 18:30,Morrison Dining Hall,Eastern,12/10/2021 - 23:55,St. Francis Xavier University,St. Francis Xavier University - Morrison Dining Hall- Nova Scotia- Canada,-61.99718992,45.62007995
115,Jack Astor’s Bar & Grill,Fri,12/03/2021, 16:30 to 18:30,184 Chain Lake Drive- Halifax,Central,12/08/2021 - 22:25,Jack Astor’s Bar & Grill,Jack Astor’s Bar & Grill - 184 Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.67421995,44.64726007
116,Boston Pizza,Fri,12/03/2021, 16:30 to 19:30,194A Chain Lake Drive- Halifax,Central,12/08/2021 - 22:26,Boston Pizza,Boston Pizza - 194A Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.6757326,44.6509879
117,Pizza Delight,Fri,12/03/2021, 16:30 to 18:30,348 Main Street- Antigonish,Eastern,12/08/2021 - 22:45,Pizza Delight,Pizza Delight - 348 Main Street- Antigonish- Nova Scotia- Canada,-61.99437003,45.62219
118,Townhouse Restaurant,Fri,12/03/2021, 15:30 to 23:00,76 College St.- Antigonish,Eastern,12/09/2021 - 21:39,Townhouse Restaurant,Townhouse Restaurant - 76 College St.- Antigonish- Nova Scotia- Canada,-61.99147579,45.62269354
119,St Francis Xavier University,Fri,12/03/2021, 15:00 to 16:00,Angus L. Macdonald Library (2nd floor cubbies),Eastern,12/08/2021 - 22:23,St Francis Xavier University,St Francis Xavier University - Angus L. Macdonald Library (2nd floor cubbies)- Nova Scotia- Canada,-61.99718992,45.62007995
120,Playdium,Fri,12/03/2021, 14:30 to 18:30,21 Cabela Road- Dartmouth,Central,12/08/2021 - 22:21,Playdium,Playdium - 21 Cabela Road- Dartmouth- Nova Scotia- Canada,-63.57535,44.67404
121,St. Francis Xavier University,Fri,12/03/2021, 14:30 to 18:00,Amelia Saputo Centre (Main gymnasium - Coach K Court),Eastern,12/11/2021 - 00:45,St. Francis Xavier University,St. Francis Xavier University - Amelia Saputo Centre (Main gymnasium - Coach K Court)- Nova Scotia- Canada,-61.63183,45.76663995
122,Antojo Taco + Tequila,Fri,12/03/2021, 12:30 to 14:30,1667 Argyle St.- Halifax,Central,12/11/2021 - 00:46,Antojo Taco + Tequila,Antojo Taco + Tequila - 1667 Argyle St.- Halifax- Nova Scotia- Canada,-63.57451992,44.64660008
123,Goodlife Fitness,Fri,12/03/2021, 12:30 to 14:30,26 College St.- Antigonish,Eastern,12/08/2021 - 22:35,Goodlife Fitness,Goodlife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459
124,Vivid Hair & Body,Fri,12/03/2021, 11:30 to 13:30,325 Main Street- Antigonish,Eastern,12/08/2021 - 22:43,Vivid Hair & Body,Vivid Hair & Body - 325 Main Street- Antigonish- Nova Scotia- Canada,-61.99262126,45.62247255
125,CrossFit Actuate,Fri,12/03/2021, 10:15 to 11:30,1644 Brierly Brook Rd.- Antigonish,Eastern,12/10/2021 - 23:58,CrossFit Actuate,CrossFit Actuate - 1644 Brierly Brook Rd.- Antigonish- Nova Scotia- Canada,-62.02762694,45.62691257
126,Main Street Café - Maritime Inn Restaurant,Fri,12/03/2021, 10:00 to 11:30,158 Main Street- Antigonish,Eastern,12/08/2021 - 22:32,Main Street Café - Maritime Inn Restaurant,Main Street Café - Maritime Inn Restaurant - 158 Main Street- Antigonish- Nova Scotia- Canada,-61.98719926,45.62326673
127,St. Francis Xavier,Fri,12/03/2021, 10:00 to 18:30,Charles V. Keating Centre,Eastern,12/08/2021 - 22:15,St. Francis Xavier,St. Francis Xavier - Charles V. Keating Centre- Nova Scotia- Canada,-64.3571,44.37933
128,Royal Bank,Fri,12/03/2021, 09:30 to 18:30,50 Tacoma Drive- Dartmouth,Central,12/09/2021 - 21:16,Royal Bank,Royal Bank - 50 Tacoma Drive- Dartmouth- Nova Scotia- Canada,-63.53980693,44.68081258
129,Tall and Small Cafe,Fri,12/03/2021, 08:30 to 10:00,342 Main Street- Antigonish,Eastern,12/09/2021 - 21:36,Tall and Small Cafe,Tall and Small Cafe - 342 Main Street- Antigonish- Nova Scotia- Canada,-61.99411,45.62229005
130,Discovery Centre,Fri,12/03/2021, 08:30 to 14:00,1593 Barrington St.- Halifax,Central,12/11/2021 - 00:48,Discovery Centre,Discovery Centre - 1593 Barrington St.- Halifax- Nova Scotia- Canada,-63.57340755,44.64605492
131,Pipers Pub,Thu,12/02/2021, 20:30 to Fri,33 College St.- Antigonish,Eastern,12/10/2021 - 23:32,Pipers Pub,Pipers Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.99158,45.62128
132,Candid Brewing Company,Thu,12/02/2021, 19:30 to 23:30,88 College St.- Antigonish,Eastern,12/10/2021 - 23:34,Candid Brewing Company,Candid Brewing Company - 88 College St.- Antigonish- Nova Scotia- Canada,-61.99161577,45.62305358
133,Montanas BBQ & Bar,Thu,12/02/2021, 19:30 to 22:00,196B Chain Lake Drive- Halifax,Central,12/05/2021 - 18:34,Montanas BBQ & Bar,Montanas BBQ & Bar - 196B Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.6757683,44.65109821
134,Finbars,Thu,12/02/2021, 18:00 to 21:00,1595 Bedford Highway- Bedford,Central,12/08/2021 - 22:19,Finbars,Finbars - 1595 Bedford Highway- Bedford- Nova Scotia- Canada,-63.656112,44.7327669
135,Main Street Café - Maritime Inn Restaurant,Thu,12/02/2021, 16:30 to 19:00,158 Main Street- Antigonish,Eastern,12/08/2021 - 22:30,Main Street Café - Maritime Inn Restaurant,Main Street Café - Maritime Inn Restaurant - 158 Main Street- Antigonish- Nova Scotia- Canada,-61.98719926,45.62326673
136,Goodlife Fitness,Thu,12/02/2021, 12:30 to 14:30,26 College St.- Antigonish,Eastern,12/08/2021 - 22:33,Goodlife Fitness,Goodlife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459
137,Lanes at Membertou,Thu,12/02/2021, 11:45 to 13:45,185 Towerview Pl.- Membertou,Eastern,12/11/2021 - 00:44,Lanes at Membertou,Lanes at Membertou - 185 Towerview Pl.- Membertou- Nova Scotia- Canada,-60.19347461,46.12059124
138,Tim Horton’s,Thu,12/02/2021, 10:00 to 11:30,34 Main Street- Antigonish,Eastern,12/09/2021 - 21:32,Tim Horton’s,Tim Horton’s - 34 Main Street- Antigonish- Nova Scotia- Canada,-61.98302,45.62501
139,St. Francis Xavier University – Angus L. Macdonald Library,Thu,12/02/2021, 09:30 to 13:00,Third Floor – across from the “Harry Potter” Room,Eastern,12/09/2021 - 21:34,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - Third Floor – across from the “Harry Potter” Room- Nova Scotia- Canada,-61.63183,45.76663995
140,Antigonish Nail Boutique,Thu,12/02/2021, 08:30 to 11:30,4053 S River Road- Antigonish,Eastern,12/08/2021 - 22:36,Antigonish Nail Boutique,Antigonish Nail Boutique - 4053 S River Road- Antigonish- Nova Scotia- Canada,-61.96567809,45.61634294
141,Pipers Pub,Wed,12/01/2021, 23:45 to Thu,33 College St.- Antigonish,Eastern,12/09/2021 - 21:28,Pipers Pub,Pipers Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.99158,45.62128
142,Pipers Pub,Wed,12/01/2021, 23:30 to Thu,33 College St.- Antigonish,Eastern,12/07/2021 - 20:54,Pipers Pub,Pipers Pub - 33 College St.- Antigonish- Nova Scotia- Canada,-61.99158,45.62128
143,Tantallon Public Library,Wed,12/01/2021, 18:00 to 20:30,3646 Hammonds Plains Road- Upper Tantallon,Central,12/04/2021 - 19:24,Tantallon Public Library,Tantallon Public Library - 3646 Hammonds Plains Road- Upper Tantallon- Nova Scotia- Canada,-63.8573503,44.70293334
144,St. Margarets Centre – Smith Arena,Wed,12/01/2021, 17:00 to 18:45,12 Westwood Blvd.- Upper Tantallon,Central,12/06/2021 - 18:38,St. Margarets Centre – Smith Arena,St. Margarets Centre – Smith Arena - 12 Westwood Blvd.- Upper Tantallon- Nova Scotia- Canada,-63.85885963,44.70632341
145,Canada Games Centre,Wed,12/01/2021, 15:30 to 17:15,Aquatics Centre and family rooms (26 Thomas Raddall Drive- Halifax),Central,12/08/2021 - 22:15,Canada Games Centre,Canada Games Centre - Aquatics Centre and family rooms (26 Thomas Raddall Drive- Halifax)- Nova Scotia- Canada,-63.66527,44.65896
146,Goodlife Fitness,Wed,12/01/2021, 14:00 to 16:00,26 College St.- Antigonish,Eastern,12/08/2021 - 22:31,Goodlife Fitness,Goodlife Fitness - 26 College St.- Antigonish- Nova Scotia- Canada,-61.99149147,45.62154459
147,Halifax Shopping Centre - Food Court,Wed,12/01/2021, 13:30 to 15:30,7001 Mumford Rd.- Halifax,Central,12/06/2021 - 18:40,Halifax Shopping Centre - Food Court,Halifax Shopping Centre - Food Court - 7001 Mumford Rd.- Halifax- Nova Scotia- Canada,-63.61744,44.64922
148,Dairy Queen,Wed,12/01/2021, 13:00 to 15:00,2515 Dutch Village Road- Halifax,Flight,12/04/2021 - 19:24,Dairy Queen,Dairy Queen - 2515 Dutch Village Road- Halifax- Nova Scotia- Canada,-63.63202998,44.65603997
149,Lanes at Membertou,Wed,12/01/2021, 11:30 to 13:45,185 Towerview Pl.- Membertou,Eastern,12/11/2021 - 00:47,Lanes at Membertou,Lanes at Membertou - 185 Towerview Pl.- Membertou- Nova Scotia- Canada,-60.19347461,46.12059124
150,St. Margarets Bay Centre - Smith Arena,Tue,11/30/2021, 18:30 to 21:00,12 Westwood Boulevard- Upper Tantallon,Central,12/05/2021 - 18:33,St. Margarets Bay Centre - Smith Arena,St. Margarets Bay Centre - Smith Arena - 12 Westwood Boulevard- Upper Tantallon- Nova Scotia- Canada,-63.85885963,44.70632341
151,Mic Mac Bar and Grill,Tue,11/30/2021, 17:30,219 Waverley Road- Dartmouth,Central,12/03/2021 - 18:40,Mic Mac Bar and Grill,Mic Mac Bar and Grill - 219 Waverley Road- Dartmouth- Nova Scotia- Canada,-63.54734721,44.69494254
152,St. Francis Xavier University – Angus L. Macdonald Library,Tue,11/30/2021, 12:00 to 15:00,Third Floor – across from the “Harry Potter” Room,Eastern,12/09/2021 - 21:36,St. Francis Xavier University – Angus L. Macdonald Library,St. Francis Xavier University – Angus L. Macdonald Library - Third Floor – across from the “Harry Potter” Room- Nova Scotia- Canada,-61.63183,45.76663995
153,Black Sheep Restaurant,Tue,11/30/2021, 11:30 to 14:30,Brewery Market (1496 Lower Water Street- Halifax),Central,12/09/2021 - 21:15,Black Sheep Restaurant,Black Sheep Restaurant - Brewery Market (1496 Lower Water Street- Halifax)- Nova Scotia- Canada,-63.56988078,44.6443034
154,Pur & Simple,Tue,11/30/2021, 10:00 to 12:15,535 Portland Street- Dartmouth,Central,12/02/2021 - 18:45,Pur & Simple,Pur & Simple - 535 Portland Street- Dartmouth- Nova Scotia- Canada,-63.53918048,44.67024732
155,Café Marco Polo,Mon,11/29/2021, 10:00 to 11:30,15 Kings Wharf Pl.- Dartmouth,Central,11/30/2021 - 19:56,Café Marco Polo,Café Marco Polo - 15 Kings Wharf Pl.- Dartmouth- Nova Scotia- Canada,-63.56444403,44.66420505
156,Access Nova Scotia,Mon,11/29/2021, 10:00 to 13:00,300 Horseshoe Lake Dr.- Halifax,Central,11/30/2021 - 19:58,Access Nova Scotia,Access Nova Scotia - 300 Horseshoe Lake Dr.- Halifax- Nova Scotia- Canada,-63.67181001,44.63786005
157,Scotiabank Theatre Halifax,Sun,11/28/2021, 18:15 to 20:45,Encanto screening- 190 Chain Lake Drive- Halifax,Central,12/02/2021 - 18:42,Scotiabank Theatre Halifax,Scotiabank Theatre Halifax - Encanto screening- 190 Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.67503519,44.64882196
158,Masstown Market,Sun,11/28/2021, 12:00 to 14:00,10622- NS Trunk 2- Debert,Northern,12/03/2021 - 18:39,Masstown Market,Masstown Market - 10622- NS Trunk 2- Debert- Nova Scotia- Canada,-63.49552,45.39332
159,Pitch & Pivot,Sun,11/28/2021, 09:30 to 11:30,240 Brownlow Ave.- Dartmouth,Central,11/30/2021 - 19:55,Pitch & Pivot,Pitch & Pivot - 240 Brownlow Ave.- Dartmouth- Nova Scotia- Canada,-63.57839369,44.69499262
160,The Barrington Steakhouse and Oyster Bar,Sat,11/27/2021, 19:30 to 21:30,1662 Barrington Street- Halifax,Central,12/03/2021 - 18:39,The Barrington Steakhouse and Oyster Bar,The Barrington Steakhouse and Oyster Bar - 1662 Barrington Street- Halifax- Nova Scotia- Canada,-63.57378003,44.64667998
161,The Old Triangle Irish Alehouse,Sat,11/27/2021, 19:00 to 23:00,5136 Prince St- Halifax,Central,11/30/2021 - 19:45,The Old Triangle Irish Alehouse,The Old Triangle Irish Alehouse - 5136 Prince St- Halifax- Nova Scotia- Canada,-63.57229996,44.64766996
162,East Side Mario’s,Sat,11/27/2021, 18:00 to 20:15,186 Chain Lake Drive- Halifax,Central,12/01/2021 - 17:38,East Side Mario’s,East Side Mario’s - 186 Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.67478997,44.64805006
163,Montana’s,Sat,11/27/2021, 18:00 to 20:00,196B Chain Lake Drive- Halifax,Central,12/02/2021 - 18:35,Montana’s,Montana’s - 196B Chain Lake Drive- Halifax- Nova Scotia- Canada,-63.6757683,44.65109821
164,Scotiabank Centre,Sat,11/27/2021, 18:00 to 21:00,Mooseheads Game Section 43- 1800 Argyle Street- Halifax,Central,12/02/2021 - 18:38,Scotiabank Centre,Scotiabank Centre - Mooseheads Game Section 43- 1800 Argyle Street- Halifax- Nova Scotia- Canada,-63.57557002,44.64853996
165,Moxies Bar & Grill,Sat,11/27/2021, 16:30 to 18:30,9 Countryview Dr.- Dartmouth,Central,11/30/2021 - 19:50,Moxies Bar & Grill,Moxies Bar & Grill - 9 Countryview Dr.- Dartmouth- Nova Scotia- Canada,-63.56489005,44.70098993
166,Ela! Greek Taverna,Sat,11/27/2021, 13:30 to 16:00,150 Hector Gate- Dartmouth,Central,11/30/2021 - 19:48,Ela! Greek Taverna,Ela! Greek Taverna - 150 Hector Gate- Dartmouth- Nova Scotia- Canada,-63.56178993,44.70494996
167,Sou’Wester Gift and Restaurant,Sat,11/27/2021, 12:30 to 14:30,178 Peggys Point Rd.- Peggys Cove,Central,11/28/2021 - 18:12,Sou’Wester Gift and Restaurant,Sou’Wester Gift and Restaurant - 178 Peggys Point Rd.- Peggys Cove- Nova Scotia- Canada,-63.91716007,44.49296998
168,Hermitage,Sat,11/27/2021, 11:30 to 23:00,1460 Lower Water St.- Halifax,Central,11/30/2021 - 19:43,Hermitage,Hermitage - 1460 Lower Water St.- Halifax- Nova Scotia- Canada,-63.57002403,44.6444829
169,Pür & Simple,Sat,11/27/2021, 10:30 to 12:30,189 Hector Gate- Dartmouth,Central,11/30/2021 - 19:47,Pür & Simple,Pür & Simple - 189 Hector Gate- Dartmouth- Nova Scotia- Canada,-63.5616516,44.70611587
170,Revolution Fitness,Sat,11/27/2021, 08:30 to 10:30,112 Woodlawn Road- Dartmouth,Central,12/01/2021 - 17:50,Revolution Fitness,Revolution Fitness - 112 Woodlawn Road- Dartmouth- Nova Scotia- Canada,-63.53067996,44.67323655
171,Pitch & Pivot,Fri,11/26/2021, 18:30 to 22:30,240 Brownlow Ave.- Dartmouth,Central,11/30/2021 - 19:53,Pitch & Pivot,Pitch & Pivot - 240 Brownlow Ave.- Dartmouth- Nova Scotia- Canada,-63.57839369,44.69499262
172,Hermitage,Fri,11/26/2021, 16:30 to 23:00,1460 Lower Water St.- Halifax,Central,11/30/2021 - 19:41,Hermitage,Hermitage - 1460 Lower Water St.- Halifax- Nova Scotia- Canada,-63.57002403,44.6444829
173,GoodLife Fitness,Fri,11/26/2021, 11:00 to 13:30,3711 Joseph Howe Dr.- Halifax,Central,11/30/2021 - 20:05,GoodLife Fitness,GoodLife Fitness - 3711 Joseph Howe Dr.- Halifax- Nova Scotia- Canada,-63.62855955,44.65987308
174,Hermitage,Thu,11/25/2021, 11:30 to 23:00,1460 Lower Water St.- Halifax,Central,11/30/2021 - 19:40,Hermitage,Hermitage - 1460 Lower Water St.- Halifax- Nova Scotia- Canada,-63.57002403,44.6444829
175,Springhill Miners Memorial Library,Thu,11/25/2021, 10:00 to 13:00,8 Pioneer St.- Springhill,Northern,11/29/2021 - 19:00,Springhill Miners Memorial Library,Springhill Miners Memorial Library - 8 Pioneer St.- Springhill- Nova Scotia- Canada,-64.05668697,45.65013492
176,The PIER,Thu,11/25/2021, 09:00 to 13:00,1209 Marginal Rd.- Halifax,Central,11/30/2021 - 19:38,The PIER,The PIER - 1209 Marginal Rd.- Halifax- Nova Scotia- Canada,-63.56701685,44.64085446
177,Thai Express,Wed,11/24/2021, 17:30 to 19:30,50 Foulis Row- Dartmouth,Central,11/25/2021 - 20:16,Thai Express,Thai Express - 50 Foulis Row- Dartmouth- Nova Scotia- Canada,-63.56274003,44.70541005
178,Swiss Chalet,Wed,11/24/2021, 16:30 to 18:15,482 Grand Lake Rd.- Sydney,Eastern,11/29/2021 - 19:05,Swiss Chalet,Swiss Chalet - 482 Grand Lake Rd.- Sydney- Nova Scotia- Canada,-60.15596997,46.14584993
179,Rath Eastlink Community Centre,Wed,11/24/2021, 15:15 to 16:45,aquatics area only (625 Abenaki Rd.- Truro),Northern,11/29/2021 - 19:02,Rath Eastlink Community Centre,Rath Eastlink Community Centre - aquatics area only (625 Abenaki Rd.- Truro)- Nova Scotia- Canada,-63.3047663,45.35068712
180,Montana’s,Tue,11/23/2021, 15:00 to 17:30,196B Chain Lake Dr.- Halifax,Central,11/25/2021 - 20:16,Montana’s,Montana’s - 196B Chain Lake Dr.- Halifax- Nova Scotia- Canada,-63.6757683,44.65109821
181,Zatzman Sportsplex - Aqua Fit class in pool,Mon,11/22/2021, 19:00 to 21:00,110 Wyse Road- Dartmouth,Flight,12/04/2021 - 11:29,Zatzman Sportsplex - Aqua Fit class in pool,Zatzman Sportsplex - Aqua Fit class in pool - 110 Wyse Road- Dartmouth- Nova Scotia- Canada,-63.57557511,44.66895537
182,Boston Pizza,Mon,11/22/2021, 18:00 to 20:00,68 Robie St.- Truro,Northern,11/29/2021 - 19:03,Boston Pizza,Boston Pizza - 68 Robie St.- Truro- Nova Scotia- Canada,-63.31462,45.36779
183,Let’s Ko,Mon,11/22/2021, 16:15 to 18:00,30 Damascus Rd.- Unit 110- Bedford,Central,11/25/2021 - 20:15,Let’s Ko,Let’s Ko - 30 Damascus Rd.- Unit 110- Bedford- Nova Scotia- Canada,-63.64045523,44.75005267
184,McDonalds,Sun,11/21/2021, 18:30 to 20:30,272 Lacewood Dr.- Halifax,Central,11/26/2021 - 18:24,McDonalds,McDonalds - 272 Lacewood Dr.- Halifax- Nova Scotia- Canada,-63.65602998,44.66243993
185,Chaba Thai,Sun,11/21/2021, 16:30 to 20:30,1511 Bedford Hwy.- Bedford,Central,11/25/2021 - 20:14,Chaba Thai,Chaba Thai - 1511 Bedford Hwy.- Bedford- Nova Scotia- Canada,-63.65857506,44.73142272
186,Amherst Stadium,Sun,11/21/2021, 15:15 to 17:30,185 Church St.- Amherst,Northern,11/26/2021 - 18:30,Amherst Stadium,Amherst Stadium - 185 Church St.- Amherst- Nova Scotia- Canada,-64.19959121,45.8275436
187,North Shore Recreation Centre,Sun,11/21/2021, 14:00 to 17:00,30 Blair Ave.- Tatamagouche,Northern,11/26/2021 - 18:34,North Shore Recreation Centre,North Shore Recreation Centre - 30 Blair Ave.- Tatamagouche- Nova Scotia- Canada,-63.30061549,45.71459473
188,Yoka Japanese and Thai Restaurant,Sun,11/21/2021, 13:00 to 15:00,911 Prince St #1- Truro,Northern,11/24/2021 - 20:02,Yoka Japanese and Thai Restaurant,Yoka Japanese and Thai Restaurant - 911 Prince St #1- Truro- Nova Scotia- Canada,-63.27397781,45.36437749
189,Pizza Delight,Sun,11/21/2021, 13:00 to 15:30,4 Robert Angus Dr.- Amherst,Northern,11/26/2021 - 18:32,Pizza Delight,Pizza Delight - 4 Robert Angus Dr.- Amherst- Nova Scotia- Canada,-64.20112006,45.81353002
190,Pür and Simple,Sun,11/21/2021, 07:00 to 08:45,6140 Young St.- Halifax,Central,11/26/2021 - 18:26,Pür and Simple,Pür and Simple - 6140 Young St.- Halifax- Nova Scotia- Canada,-63.60479158,44.65776578
191,The Press Gang Restaurant & Oyster Bar,Sat,11/20/2021, 22:15 to Sun,5218 Prince Street- Halifax,Central,11/24/2021 - 19:59,The Press Gang Restaurant & Oyster Bar,The Press Gang Restaurant & Oyster Bar - 5218 Prince Street- Halifax- Nova Scotia- Canada,-63.57454998,44.64710994
192,Steak and Stein,Sat,11/20/2021, 19:30 to 21:15,6061 Young St.- Halifax,Central,11/26/2021 - 18:23,Steak and Stein,Steak and Stein - 6061 Young St.- Halifax- Nova Scotia- Canada,-63.60372007,44.65865008
193,Halifax Convention Centre - Convention Hall level,Sat,11/20/2021, 19:00 to 23:00,1650 Argyle Street- Halifax,Central,11/22/2021 - 19:39,Halifax Convention Centre - Convention Hall level,Halifax Convention Centre - Convention Hall level - 1650 Argyle Street- Halifax- Nova Scotia- Canada,-63.57457005,44.64659995
194,Scotiabank Centre - section 8 – seats 1-12 in rows E- F- G- H- J,Sat,11/20/2021, 18:30 to 23:00,1800 Argyle St.- Halifax,Central,11/24/2021 - 20:01,Scotiabank Centre - section 8 – seats 1-12 in rows E- F- G- H- J,Scotiabank Centre - section 8 – seats 1-12 in rows E- F- G- H- J - 1800 Argyle St.- Halifax- Nova Scotia- Canada,-63.57557002,44.64853996
195,Amherst Stadium,Sat,11/20/2021, 18:30 to 20:30,185 Church St.- Amherst,Northern,11/26/2021 - 18:28,Amherst Stadium,Amherst Stadium - 185 Church St.- Amherst- Nova Scotia- Canada,-64.19959121,45.8275436
196,Amherst Stadium,Sat,11/20/2021, 18:00 to 21:30,185 Church St.- Amherst,Northern,11/23/2021 - 09:42,Amherst Stadium,Amherst Stadium - 185 Church St.- Amherst- Nova Scotia- Canada,-64.19959121,45.8275436
197,Riverside Pub & Eatery,Sat,11/20/2021, 16:30 to 19:00,1552 Bedford Hwy- Bedford,Central,11/22/2021 - 19:39,Riverside Pub & Eatery,Riverside Pub & Eatery - 1552 Bedford Hwy- Bedford- Nova Scotia- Canada,-63.65648005,44.73249004
198,Bowlarama Bayers Road,Sat,11/20/2021, 12:45 to 15:30,3459 Desmond Ave- Halifax,Central,11/23/2021 - 20:10,Bowlarama Bayers Road,Bowlarama Bayers Road - 3459 Desmond Ave- Halifax- Nova Scotia- Canada,-63.6276326,44.65579302
